id,nombre,sha_1,sha_2,sha_3,sha_4,sha_5,sha_6,sha_7,sha_8,sha_9,sha_10,sha_11,sha_12,dec_1,dec_2,dec_3,dec_4,dec_5,dec_6,dec_7,dec_8,dec_9,dec_10,dec_11,dec_12
65,Spica,158.358,158.353,158.350,158.348,158.348,158.348,158.348,158.348,158.350,158.352,158.352,158.348,-11.297,-11.298,-11.300,-11.302,-11.302,-11.302,-11.302,-11.300,-11.300,-11.300,-11.300,-11.302
66,Alkaid,152.858,152.853,152.848,152.845,152.845,152.845,152.848,152.852,152.853,152.855,152.855,152.853,49.178,49.177,49.177,49.178,49.182,49.183,49.185,49.185,49.183,49.182,49.178,49.175
67,Hadar,148.585,148.577,148.572,148.567,148.565,148.565,148.567,148.570,148.573,148.577,148.575,148.572,-60.495,-60.495,-60.497,-60.500,-60.502,-60.503,-60.505,-60.505,-60.505,-60.503,-60.502,-60.500
68,Menkent,147.947,147.942,147.938,147.935,147.933,147.932,147.933,147.935,147.937,147.938,147.938,147.935,-36.495,-36.497,-36.498,-36.500,-36.502,-36.503,-36.503,-36.503,-36.503,-36.502,-36.500,-36.500
69,Arcturus,145.788,145.783,145.780,145.778,145.777,145.777,145.777,145.778,145.780,145.782,145.782,145.780,19.045,19.042,19.042,19.042,19.043,19.045,19.045,19.047,19.047,19.045,19.043,19.042
70,Rigil Kent,139.660,139.653,139.647,139.642,139.638,139.638,139.640,139.643,139.647,139.650,139.650,139.647,-60.938,-60.940,-60.942,-60.943,-60.945,-60.948,-60.948,-60.950,-60.948,-60.947,-60.945,-60.943
71,Zubenelgenubi,136.922,136.917,136.913,136.910,136.908,136.907,136.908,136.908,136.910,136.912,136.912,136.910,-16.150,-16.150,-16.152,-16.153,-16.153,-16.153,-16.153,-16.153,-16.153,-16.152,-16.152,-16.153
72,Kochab,137.342,137.332,137.322,137.313,137.310,137.318,137.328,137.338,137.345,137.347,137.350,137.350,74.042,74.042,74.042,74.043,74.045,74.048,74.050,74.050,74.050,74.047,74.045,74.042
73,Zubeneschamali,130.400,130.395,130.392,130.388,130.387,130.385,130.385,130.387,130.388,130.390,130.390,130.388,-9.478,-9.480,-9.482,-9.482,-9.482,-9.482,-9.482,-9.482,-9.480,-9.480,-9.480,-9.482
74,Alphecca,126.055,126.052,126.047,126.043,126.042,126.040,126.040,126.042,126.045,126.047,126.047,126.047,26.625,26.622,26.622,26.622,26.623,26.625,26.627,26.628,26.628,26.627,26.625,26.623
75,Unukalhai,123.615,123.612,123.607,123.603,123.602,123.600,123.600,123.602,123.603,123.605,123.605,123.605,6.342,6.340,6.340,6.340,6.340,6.342,6.343,6.343,6.343,6.343,6.343,6.342
76,Antares,112.253,112.248,112.245,112.240,112.237,112.235,112.233,112.233,112.237,112.238,112.238,112.238,-26.488,-26.490,-26.490,-26.490,-26.492,-26.492,-26.492,-26.492,-26.492,-26.492,-26.492,-26.490
